6.6	1.2895	0.01311	0.0082	-0.0742
6.7	1.2962	0.01324	0.00833	-0.0734
6.8	1.3028	0.01337	0.00846	-0.0726
6.9	1.3094	0.0135	0.0086	-0.0717
7	1.3159	0.01364	0.00874	-0.0709
7.1	1.3226	0.01377	0.00888	-0.0701
7.2	1.3291	0.01392	0.00902	-0.0693
7.3	1.3355	0.01407	0.00917	-0.0684
7.4	1.342	0.01422	0.00933	-0.0676
7.5	1.3486	0.01437	0.00948	-0.0668
7.6	1.3548	0.01453	0.00964	-0.066
7.7	1.3611	0.01469	0.00981	-0.0651
7.8	1.3674	0.01485	0.00997	-0.0643
7.9	1.3735	0.01502	0.01014	-0.0635
8	1.3796	0.0152	0.01032	-0.0627
8.1	1.3858	0.01538	0.01051	-0.0619
8.2	1.392	0.01556	0.01069	-0.0611
8.3	1.398	0.01575	0.01089	-0.0603
8.4	1.404	0.01595	0.01109	-0.0595
8.5	1.4102	0.01615	0.01129	-0.0587
8.6	1.4162	0.01636	0.0115	-0.0579
8.7	1.4221	0.01657	0.01172	-0.0571
8.8	1.4281	0.01678	0.01194	-0.0564
8.9	1.4339	0.01701	0.01217	-0.0556
9	1.4397	0.01724	0.0124	-0.0548
9.1	1.4457	0.01747	0.01264	-0.0541
9.2	1.4513	0.01772	0.01289	-0.0533
9.3	1.457	0.01797	0.01314	-0.0526
9.4	1.4627	0.01822	0.0134	-0.0518
9.5	1.4682	0.01848	0.01367	-0.0511
9.6	1.4737	0.01875	0.01395	-0.0503
9.7	1.4793	0.01902	0.01422	-0.0496
9.8	1.4845	0.0193	0.01451	-0.0488
9.9	1.4898	0.01959	0.01481	-0.0481
10	1.4963	0.01982	0.01508	-0.0475
10.1	1.5015	0.02012	0.01539	-0.0468
10.2	1.5066	0.02043	0.01571	-0.046
10.3	1.5116	0.02075	0.01603	-0.0453
10.4	1.5163	0.02109	0.01638	-0.0446
10.5	1.5211	0.02143	0.01673	-0.0438
10.6	1.5256	0.02179	0.0171	-0.0431
10.7	1.5302	0.02215	0.01747	-0.0424
10.8	1.5346	0.02252	0.01785	-0.0416
10.9	1.5388	0.02291	0.01825	-0.0409
11	1.5432	0.0233	0.01865	-0.0402
11.1	1.5472	0.02371	0.01907	-0.0395
11.2	1.5513	0.02412	0.01949	-0.0388
11.3	1.5551	0.02456	0.01994	-0.038
11.4	1.5589	0.025	0.0204	-0.0373
11.5	1.5625	0.02546	0.02087	-0.0366
11.6	1.566	0.02594	0.02136	-0.0359
11.7	1.5694	0.02643	0.02187	-0.0352
11.8	1.5726	0.02695	0.0224	-0.0346
11.9	1.5757	0.02747	0.02294	-0.0339
12	1.5784	0.02803	0.02352	-0.0332
12.1	1.5811	0.0286	0.0241	-0.0325
12.2	1.5838	0.02919	0.02471	-0.0319
12.3	1.5862	0.0298	0.02534	-0.0313
12.4	1.5887	0.03043	0.02598	-0.0307
12.5	1.5908	0.03109	0.02667	-0.0301
12.6	1.5929	0.03177	0.02736	-0.0295
12.7	1.5948	0.03248	0.02809	-0.029
12.8	1.5964	0.03322	0.02885	-0.0284
12.9	1.5981	0.03397	0.02962	-0.0279
13	1.5995	0.03475	0.03043	-0.0274
13.1	1.6	0.03563	0.03134	-0.0269
13.2	1.6005	0.03652	0.03226	-0.0265
13.3	1.6009	0.03744	0.0332	-0.026
13.4	1.6014	0.03837	0.03416	-0.0256
13.5	1.6015	0.03935	0.03516	-0.0252
13.6	1.6015	0.04035	0.03619	-0.0249
13.7	1.6011	0.04139	0.03725	-0.0245
13.8	1.6004	0.04247	0.03836	-0.0242
13.9	1.5995	0.04357	0.03949	-0.0239
14	1.5982	0.04473	0.04068	-0.0236
14.1	1.5967	0.04591	0.04188	-0.0233
14.2	1.5949	0.04713	0.04313	-0.0231
14.3	1.5926	0.04842	0.04445	-0.0228
14.4	1.59	0.04974	0.0458	-0.0226
14.5	1.587	0.05109	0.04718	-0.0223
14.6	1.5838	0.05249	0.04861	-0.0221
14.7	1.58	0.05396	0.05011	-0.022
14.8	1.5757	0.05549	0.05168	-0.0218
14.9	1.5714	0.05706	0.05327	-0.0217
15	1.5666	0.05868	0.05493	-0.0216
15.1	1.5616	0.06034	0.05662	-0.0216
15.2	1.556	0.06209	0.05841	-0.0215
15.3	1.55	0.06392	0.06027	-0.0216
15.4	1.5439	0.0658	0.06219	-0.0216
15.5	1.5374	0.06774	0.06417	-0.0218
15.6	1.5307	0.06974	0.0662	-0.0219
15.7	1.5236	0.0718	0.06829	-0.0222
15.8	1.5164	0.0739	0.07043	-0.0224
15.9	1.5089	0.07605	0.07262	-0.0227
16	1.5017	0.07819	0.07479	-0.023
16.1	1.494	0.08038	0.07703	-0.0233
16.2	1.4862	0.08261	0.07928	-0.0237
16.3	1.4783	0.08483	0.08154	-0.024
16.4	1.4703	0.08709	0.08384	-0.0244
16.5	1.4622	0.08937	0.08615	-0.0249
16.6	1.4543	0.09163	0.08844	-0.0253
16.7	1.446	0.09394	0.09079	-0.0258
16.8	1.4389	0.09609	0.09297	-0.0262
16.9	1.4311	0.09838	0.09528	-0.0267
17	1.4233	0.10066	0.0976	-0.0272
17.1	1.4167	0.1028	0.09977	-0.0277
17.2	1.4094	0.10505	0.10204	-0.0283
17.3	1.4032	0.10715	0.10418	-0.0288
17.4	1.3965	0.10934	0.10639	-0.0294
17.5	1.3905	0.11144	0.10852	-0.03
17.6	1.385	0.11349	0.1106	-0.0306
17.7	1.3789	0.11564	0.11278	-0.0312
17.8	1.3743	0.11759	0.11475	-0.0318
17.9	1.3684	0.11973	0.11692	-0.0325
18	1.3635	0.12173	0.11894	-0.0331
18.1	1.3594	0.12361	0.12084	-0.0338
18.2	1.3537	0.12576	0.12302	-0.0345
18.3	1.3494	0.1277	0.12499	-0.0352
18.4	1.3458	0.12955	0.12686	-0.0358
18.5	1.3408	0.13163	0.12897	-0.0366
18.6	1.3366	0.1336	0.13096	-0.0374
18.7	1.333	0.13546	0.13284	-0.0381
18.8	1.3283	0.1375	0.13491	-0.0389
18.9	1.324	0.13949	0.13693	-0.0397
19	1.3208	0.14132	0.13878	-0.0404
19.1	1.3177	0.14314	0.14062	-0.0412
19.2	1.3128	0.14526	0.14276	-0.0421
19.3	1.3092	0.14718	0.14471	-0.043
19.4	1.3061	0.14902	0.14657	-0.0438
19.5	1.3019	0.15107	0.14865	-0.0447
19.6	1.298	0.15305	0.15065	-0.0456
19.7	1.2951	0.15488	0.15251	-0.0465
19.8	1.2925	0.15669	0.15433	-0.0473
19.9	1.2909	0.15831	0.15597	-0.0481
20	1.2868	0.16033	0.15802	-0.0491
