10.4	1.821	0.01576	-0.321
10.5	1.825	0.01616	-0.322
10.6	1.828	0.0163	-0.322
10.7	1.831	0.01645	-0.323
10.8	1.835	0.01652	-0.324
10.9	1.837	0.01668	-0.325
11	1.84	0.01691	-0.325
11.1	1.842	0.01701	-0.326
11.2	1.844	0.01724	-0.327
11.3	1.846	0.01739	-0.328
11.4	1.848	0.01749	-0.328
11.5	1.849	0.01765	-0.328
11.6	1.85	0.01784	-0.329
11.7	1.851	0.01815	-0.329
11.8	1.851	0.01817	-0.33
11.9	1.851	0.01838	-0.331
12	1.851	0.01854	-0.331
12.1	1.851	0.0188	-0.332
12.2	1.85	0.01894	-0.332
12.3	1.849	0.01899	-0.333
12.4	1.847	0.01937	-0.333
12.5	1.846	0.01926	-0.334
12.6	1.844	0.01953	-0.334
12.7	1.842	0.01976	-0.335
12.8	1.839	0.0198	-0.336
12.9	1.836	0.02008	-0.336
13	1.833	0.02023	-0.337
13.1	1.829	0.02044	-0.337
13.2	1.825	0.02066	-0.337
13.3	1.821	0.0212	-0.336
13.4	1.816	0.02131	-0.337
13.5	1.811	0.02143	-0.337
13.6	1.806	0.02168	-0.337
13.7	1.8	0.02197	-0.337
13.8	1.795	0.02276	-0.335
13.9	1.788	0.02215	-0.338
14	1.782	0.02231	-0.338
14.1	1.775	0.02254	-0.338
14.2	1.767	0.02277	-0.337
14.3	1.76	0.02331	-0.336
14.4	1.751	0.02347	-0.336
14.5	1.743	0.02327	-0.337
14.6	1.734	0.02385	-0.337
14.7	1.725	0.02404	-0.337
14.8	1.716	0.02421	-0.338
14.9	1.706	0.02447	-0.338
15	1.696	0.02473	-0.338
15.1	1.685	0.02518	-0.338
15.2	1.674	0.02564	-0.338
15.3	1.663	0.02547	-0.339
15.4	1.652	0.02595	-0.34
15.5	1.64	0.026	-0.34
15.6	1.627	0.0264	-0.339
15.7	1.615	0.02697	-0.34
15.8	1.602	0.02699	-0.34
15.9	1.589	0.02739	-0.341
16	1.575	0.02758	-0.34
16.1	1.561	0.02736	-0.341
16.2	1.547	0.0278	-0.341
16.3	1.532	0.02836	-0.341
16.4	1.517	0.02866	-0.341
16.5	1.502	0.02924	-0.341
16.6	1.486	0.02967	-0.341
16.7	1.47	0.02959	-0.341
16.8	1.454	0.02997	-0.341
16.9	1.437	0.03	-0.341
17	1.42	0.03003	-0.342
17.1	1.403	0.03135	-0.34
17.2	1.385	0.03107	-0.342
17.3	1.367	0.03178	-0.341
17.4	1.349	0.0317	-0.341
17.5	1.33	0.03213	-0.341
17.6	1.311	0.03249	-0.339
17.7	1.292	0.03268	-0.34
17.8	1.272	0.03286	-0.34
17.9	1.252	0.03374	-0.338
18	1.232	0.03388	-0.338
18.1	1.212	0.03434	-0.337
18.2	1.191	0.03491	-0.336
18.3	1.169	0.03498	-0.337
18.4	1.148	0.0353	-0.335
18.5	1.126	0.0365	-0.334
18.6	1.103	0.03605	-0.334
18.7	1.081	0.03692	-0.334
18.8	1.058	0.03731	-0.334
18.9	1.034	0.03742	-0.332
19	1.01	0.0271	-0.255
19.1	0.986	0.02708	-0.255
19.2	0.961	0.02751	-0.255
19.3	0.935	0.02876	-0.256
19.4	0.909	0.03195	-0.255
19.5	0.882	0.0324	-0.255
19.6	0.855	0.03228	-0.256
19.7	0.826	0.03578	-0.256
19.8	0.797	0.03684	-0.256
19.9	0.766	0.03991	-0.256
20	0.735	0.03875	-0.256
